data_entry,xx,yy,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area
304,3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
305,6,5,may,sat,85.1,28,113.8,3.5,11.3,94,4.9,0,0
306,1,4,sep,sun,89.6,84.1,714.3,5.7,19,52,2.2,0,0
307,7,4,sep,sun,89.6,84.1,714.3,5.7,17.1,53,5.4,0,0.41
308,3,4,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0,5.18
309,2,4,sep,sun,92.4,105.8,758.1,9.9,16,45,1.8,0,0
310,2,4,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0,0
311,7,4,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0,0
312,6,3,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0,14.29
313,2,4,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0,0
314,6,5,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0,0
315,4,4,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1.58
316,3,4,sep,wed,91.2,134.7,817.5,7.2,18.5,30,2.7,0,0
317,4,5,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0,0
318,4,4,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0,3.78
319,6,5,sep,thu,92.8,119,783.5,7.5,21.6,27,2.2,0,0
320,5,4,sep,thu,92.8,119,783.5,7.5,21.6,28,6.3,0,4.41
321,6,3,sep,thu,92.8,119,783.5,7.5,18.9,34,7.2,0,34.36
322,1,4,sep,thu,92.8,119,783.5,7.5,16.8,28,4,0,7.21
323,6,5,sep,thu,92.8,119,783.5,7.5,16.8,28,4,0,1.01
324,3,5,sep,thu,90.7,136.9,822.8,6.8,12.9,39,2.7,0,2.18
325,6,5,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0,4.42
326,1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0,0
327,5,4,sep,sat,92.2,102.3,751.5,8.4,24.1,27,3.1,0,0
328,6,5,sep,sat,92.2,102.3,751.5,8.4,21.2,32,2.2,0,0
329,6,5,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0,0
330,4,3,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4,0,3.33
331,3,3,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0,6.58
332,7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0,15.64
333,4,4,sep,sat,91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22
334,1,4,sep,mon,92.1,87.7,721.1,9.5,18.1,54,3.1,0,2.13
335,2,3,sep,mon,91.6,108.4,764,6.2,18,51,5.4,0,0
336,4,3,sep,mon,91.6,108.4,764,6.2,9.8,86,1.8,0,0
337,7,4,sep,mon,91.6,108.4,764,6.2,19.3,44,2.2,0,0
338,6,3,sep,mon,91.6,108.4,764,6.2,23,34,2.2,0,56.04
339,8,6,sep,mon,91.6,108.4,764,6.2,22.7,35,2.2,0,7.48
340,2,4,sep,mon,91.6,108.4,764,6.2,20.4,41,1.8,0,1.47
341,2,5,sep,mon,91.6,108.4,764,6.2,19.3,44,2.2,0,3.93
342,8,6,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0,0
343,6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0,0
344,8,6,sep,mon,91.5,130.1,807.1,7.5,15.9,51,4.5,0,2.18
345,6,3,sep,mon,91.5,130.1,807.1,7.5,12.2,66,4.9,0,6.1
346,2,2,sep,mon,91.5,130.1,807.1,7.5,16.8,43,3.1,0,5.83
347,1,4,sep,mon,91.5,130.1,807.1,7.5,21.3,35,2.2,0,28.19
348,5,4,sep,fri,92.1,99,745.3,9.6,10.1,75,3.6,0,0
349,3,4,sep,fri,92.1,99,745.3,9.6,17.4,57,4.5,0,0
350,5,4,sep,fri,92.1,99,745.3,9.6,12.8,64,3.6,0,1.64
351,5,4,sep,fri,92.1,99,745.3,9.6,10.1,75,3.6,0,3.71
352,4,4,sep,fri,92.1,99,745.3,9.6,15.4,53,6.3,0,7.31
353,7,4,sep,fri,92.1,99,745.3,9.6,20.6,43,3.6,0,2.03
354,7,4,sep,fri,92.1,99,745.3,9.6,19.8,47,2.7,0,1.72
355,7,4,sep,fri,92.1,99,745.3,9.6,18.7,50,2.2,0,5.97
356,4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0,13.06
357,4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0,1.26
358,6,3,sep,fri,92.5,122,789.7,10.2,15.9,55,3.6,0,0
359,6,3,sep,fri,92.5,122,789.7,10.2,19.7,39,2.7,0,0
360,1,4,sep,fri,92.5,122,789.7,10.2,21.1,39,2.2,0,8.12
361,6,5,sep,fri,92.5,122,789.7,10.2,18.4,42,2.2,0,1.09
362,4,3,sep,fri,92.5,122,789.7,10.2,17.3,45,4,0,3.94
363,7,4,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0.52
364,4,3,sep,tue,91.9,111.7,770.3,6.5,15.9,53,2.2,0,2.93
365,6,5,sep,tue,91.9,111.7,770.3,6.5,21.1,35,2.7,0,5.65
366,6,5,sep,tue,91.9,111.7,770.3,6.5,19.6,45,3.1,0,20.03
367,4,5,sep,tue,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1.75
368,4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0,0
369,6,5,sep,sat,91.2,94.3,744.4,8.4,16.8,47,4.9,0,12.64
370,4,5,sep,sun,91,276.3,825.1,7.1,13.8,77,7.6,0,0
371,7,4,sep,sun,91,276.3,825.1,7.1,13.8,77,7.6,0,11.06
372,3,4,jul,wed,91.9,133.6,520.5,8,14.2,58,4,0,0
373,4,5,aug,sun,92,203.2,664.5,8.1,10.4,75,0.9,0,0
374,5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0,0
375,6,5,sep,fri,90.3,290,855.3,7.4,10.3,78,4,0,18.3
376,6,5,sep,sat,91.2,94.3,744.4,8.4,15.4,57,4.9,0,39.35
377,8,6,aug,mon,92.1,207,672.6,8.2,21.1,54,2.2,0,0
378,2,2,aug,sat,93.7,231.1,715.1,8.4,21.9,42,2.2,0,174.63
379,6,5,mar,thu,90.9,18.9,30.6,8,8.7,51,5.8,0,0
380,4,5,jan,sun,18.7,1.1,171.4,0,5.2,100,0.9,0,0
381,5,4,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0,7.73
382,8,6,aug,thu,90.7,194.1,643,6.8,16.2,63,2.7,0,16.33
383,8,6,aug,wed,95.2,217.7,690,18,28.2,29,1.8,0,5.86
384,9,6,aug,thu,91.6,248.4,753.8,6.3,20.5,58,2.7,0,42.87
385,8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18
386,2,4,aug,sun,91.6,181.3,613,7.6,20.9,50,2.2,0,16
387,3,4,sep,sun,90.5,96.7,750.5,11.4,20.6,55,5.4,0,24.59
388,5,5,mar,thu,90.9,18.9,30.6,8,11.6,48,5.4,0,0
389,6,4,aug,fri,94.8,227,706.7,12,23.3,34,3.1,0,28.74
390,7,4,aug,fri,94.8,227,706.7,12,23.3,34,3.1,0,0
391,7,4,feb,mon,84.7,9.5,58.3,4.1,7.5,71,6.3,0,9.96
392,8,6,sep,fri,91.1,91.3,738.1,7.2,20.7,46,2.7,0,30.18
393,1,3,sep,sun,91,276.3,825.1,7.1,21.9,43,4,0,70.76
394,2,4,mar,tue,93.4,15,25.6,11.4,15.2,19,7.6,0,0
395,6,5,feb,mon,84.1,4.6,46.7,2.2,5.3,68,1.8,0,0
396,4,5,feb,sun,85,9,56.9,3.5,10.1,62,1.8,0,51.78
397,4,3,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0,3.64
398,5,6,aug,sun,91.6,181.3,613,7.6,24.3,33,3.6,0,3.63
399,1,2,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0,0
400,9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0,0
